taxon	n_snp	b_ivw	se_ivw	p_ivw	or_ivw	lci	uci	fdr_ivw	b_egger	se_egger	p_egger	egger_intercept_p	b_wmedian	se_wmedian	p_wmedian	q_stat	q_p
family.Oxalobacteraceae.id.2966	14	-0.07482593072431104	0.019756027110736804	0.00015217136550490788	0.927904992021425	0.8926615762832333	0.9645398626915817	0.019042356209418725	-0.06062251851143577	0.028106631095940117	0.05200076103225574	0.36427625057739166	-0.08820847311935101	0.02718339670245224	0.0011747564907177083	18.5965671969588	0.13615311375043684
order.Clostridiales.id.1863	15	0.12718030957245374	0.03469535413428905	0.0002467310305962819	1.1356217627967078	1.0609634553728609	1.2155336563258694	0.019042356209418725	0.13140678206537146	0.04201549857477782	0.008010030072841828	0.443168980328935	0.13260541712396098	0.050792568767608445	0.009035057770158682	19.658460397339837	0.14128234321627195
genus.Oxalobacter.id.2978	11	-0.07255934911962604	0.01992406589561587	0.0002707444010817828	0.9300105497149811	0.894392539220245	0.9670470007891849	0.019042356209418725	-0.06453748393446762	0.0276018269379406	0.04415314704451047	0.3849243125340724	-0.06005953107079752	0.030591887844325066	0.04961710456908866	16.96203754410273	0.07520822411176452
class.Actinobacteria.id.419	19	0.09182893173625147	0.02718229230448092	0.0007294528574376938	1.0961772848955562	1.0393043954243686	1.1561623766926865	0.037432437806399564	0.0354245970644175	0.06396118971153487	0.5868966167901224	0.2514906923257033	0.08994563200921858	0.05477938092366263	0.10059799242242809	45.685378834471216	0.00032968874746237565
phylum.Cyanobacteria.id.1500	9	0.09323284367110503	0.028047493788879364	0.0008870245925687101	1.0977173020398172	1.0390010844337616	1.1597517011777432	0.037432437806399564	0.09978337337082274	0.03723354261053291	0.0315423557035349	0.3612162328088837	0.12123113364915243	0.039238527804250814	0.0020043003760331045	13.562819071383927	0.0938964210017532
genus.Oscillibacter.id.2063	15	-0.07583429555741304	0.02448720305383256	0.0019555915981503908	0.9269697968472158	0.883530723079978	0.9725445667260473	0.06148968554341161	-0.07984042728341208	0.03609841568664516	0.04550480681346065	0.6027348734102523	-0.08779037785727717	0.03517615753134176	0.012569636131764728	27.62030457385246	0.015971353429961765
family.Victivallaceae.id.2255	13	0.05214090196403947	0.017041407129280747	0.002215888155946766	1.0535241756813734	1.0189164349819535	1.0893073765806667	0.06148968554341161	0.05747436214391169	0.012381675241952517	0.0007144455958861933	0.01271683630057522	0.03521346861825182	0.023276436873121264	0.13032091841526083	10.247295915142084	0.5942753902514955
genus.Enterorhabdus.id.820	9	-0.07653841593127837	0.02514063016850268	0.00233136248505826	0.9263173282624668	0.8817787973710492	0.973105494481792	0.06148968554341161	-0.08511437855537503	0.030108402794563786	0.025518257398124772	0.4755999999914994	-0.0854869561159147	0.03724290955544899	0.021710854721669857	9.304327591080481	0.3172772991150221
genus..Eubacteriumbrachygroup.id.11296	10	0.06320021710974089	0.0212591140555656	0.0029504589608120558	1.065240097175085	1.021765847566125	1.1105640958078198	0.06243838836615365	0.054047036361189904	0.014698524249632215	0.006245761808983926	0.028820630071790945	0.067111533489323	0.027406020107847723	0.014333778202656097	6.810735531701343	0.6568170653090256
class.Clostridia.id.1859	14	0.10735317737991039	0.03612215537238777	0.0029591653254101256	1.1133273871020235	1.0372300565909853	1.1950076677735484	0.06243838836615365	0.11604567002980447	0.05012506267342885	0.039111470361370755	0.47925891901776463	0.119198587806437	0.0527472088544548	0.023833142305101557	22.772768822816307	0.044485376381396914
genus.Gordonibacter.id.821	13	-0.04933884100494414	0.01678436732286131	0.0032866686065144324	0.9518585463429495	0.9210543790746233	0.9836929423824026	0.06304427963404957	-0.04851678607667531	0.030400779525789883	0.1388162170521634	0.7415546953237858	-0.04184456827405621	0.027811139283804638	0.13242761128890237	36.22938069458797	0.00029759791082079826
genus.Butyricimonas.id.945	14	0.0766542412438852	0.027543953821922318	0.005386231532107182	1.0796687069393136	1.022926965300642	1.1395579120366728	0.0947079044395513	0.07351691125769642	0.03750207147036666	0.07358840540118056	0.7673933397022306	0.05324866470901972	0.0406731020802049	0.1904712793461294	20.70158346817459	0.07904452273196114
genus.Bifidobacterium.id.436	18	0.06897782601007481	0.025183217540365795	0.006161898142679731	1.0714124513960421	1.0198124314296513	1.1256233064321715	0.10001234677734025	0.0653960048263386	0.04395698061836607	0.1562652695017675	0.7800913907101579	0.02889774659247294	0.04296295156124858	0.5011889840061854	44.95857334434863	0.0002469900308319378
phylum.Actinobacteria.id.400	19	0.08101788548790533	0.030039222230776305	0.006995256113767627	1.0843902912427568	1.0223879411437138	1.1501527516317394	0.10542850285749782	0.06466775204167044	0.045979127727840324	0.1776048676829966	0.2938166589527192	0.05035285713439474	0.046888044252402505	0.28286954521994556	37.98955044403006	0.003885697901945265
genus.LachnospiraceaeNC2004group.id.11316	10	-0.0632771221500624	0.025091166337337965	0.011672672312574047	0.9386833077054608	0.8936368376820291	0.9860004814152304	0.16419559053020824	-0.07139275525221915	0.055775388141204967	0.23641080018114746	0.4156254784864953	-0.0393161780693108	0.03618209356717124	0.2772048856336321	41.93166359853439	3.3824371225460633e-06
genus.FamilyXIIIUCG001.id.11294	9	0.08900292065530843	0.03573347727574119	0.012747616802748864	1.0930838488428138	1.019146288922105	1.1723854696706277	0.16810919658625065	0.11798012848001599	0.053092522584296344	0.06168024885531154	0.42783834303045715	0.05355873841244594	0.05368752349284995	0.3184727739892975	9.85948431424343	0.27502717014208006
genus.RuminococcaceaeUCG009.id.11366	13	0.05868280663028127	0.02422170192484453	0.015404086146793016	1.0604388232245578	1.0112713188582412	1.1119968269954665	0.19119189276313686	0.058700030687394614	0.03119983545315411	0.0866287242876662	0.9079609934454731	0.02117652599540408	0.033939425298784895	0.5326600045846323	18.273878326273433	0.10762415732384985
genus.Ruminiclostridium9.id.11357	12	0.08107076540638933	0.03613053509568905	0.02484336482721275	1.084447635229122	1.0103076784781913	1.164028244668459	0.29121944325232724	0.06967208238238078	0.06377237802417364	0.3002285428744146	0.6448967225655516	0.058926661821993284	0.059188774642012436	0.3194583496508213	27.34915167350188	0.004068517868049267
genus.ErysipelotrichaceaeUCG003.id.11384	17	-0.05982866725279224	0.027421329785206824	0.02912211582575384	0.9419259025125066	0.8926377159631083	0.9939356022692057	0.2952091254298478	-0.07930378471265853	0.03756349829203585	0.051948722519879934	0.1429516022937318	-0.07105154469268643	0.04491854222840651	0.11369831284760844	28.962516260832647	0.02419009691751406
genus.Victivallis.id.2256	12	0.03633086808299596	0.01681033079764875	0.03067814270856076	1.036998899573107	1.0033883472338683	1.0717353063551076	0.2952091254298478	0.036414209836366396	0.023881311567870024	0.15829097876721232	0.987738742972736	0.025415379932865884	0.025516326892441522	0.3192288502682834	19.192392626944585	0.05772622493008489
genus.LachnospiraceaeUCG008.id.11328	12	-0.04983958221847281	0.0234150272821565	0.03329318586218864	0.9513820308547749	0.9087065759125234	0.9960616469892125	0.2952091254298478	-0.057553698078083255	0.04749903878626356	0.25348787279987406	0.1140296085291419	-0.02567889411474757	0.03658171787103748	0.4827042550809928	53.01860131369479	1.7813202872434233e-07
genus..Ruminococcusgauvreauiigroup.id.11342	13	-0.06624481824530404	0.031946361255554924	0.03811402094263103	0.935901710427716	0.8790973062824451	0.996376630120287	0.2952091254298478	-0.07681678972906444	0.05236046284037799	0.17035516655365604	0.6949823730256388	-0.016624936717283594	0.047452085749686956	0.7260744882563828	22.442274443141585	0.03285176781995941
class.Bacteroidia.id.912	16	0.06172817691961632	0.029778213145527404	0.038178714753372096	1.0636731745094277	1.0033685399762606	1.1276022489181612	0.2952091254298478	0.05215468962879058	0.037024100908250764	0.1807539980766213	0.45418780119642427	0.01307036963926104	0.047153871958883195	0.7816376718823956	20.013371862241964	0.1714203284358635
order.Bacteroidales.id.913	16	0.06172817691961632	0.029778213145527404	0.038178714753372096	1.0636731745094277	1.0033685399762606	1.1276022489181612	0.2952091254298478	0.05215468962879058	0.037024100908250764	0.1807539980766213	0.45418780119642427	0.01307036963926104	0.047153871958883195	0.7816376718823956	20.013371862241964	0.1714203284358635
genus.RuminococcaceaeUCG004.id.11362	11	0.06242445342774834	0.030114699095230617	0.03818253390668184	1.0644140430479172	1.0034054285422178	1.1291320764365826	0.2952091254298478	0.07193041178981525	0.037282448241973395	0.08576358635417386	0.1733371844651883	0.02849809578644943	0.04046370803431385	0.48125356430795985	16.63579958214402	0.08282137665942485
family.Bifidobacteriaceae.id.433	19	0.0547493657578179	0.026586407573292052	0.039465592601443	1.0562758426010606	1.002643494801092	1.1127770353548454	0.2952091254298478	0.04511167341535491	0.047178997036748625	0.3523816454838022	0.5642267383465575	0.03533331110992886	0.05007825914525449	0.4804606318481379	48.03110831903641	0.00014896792636708982
order.Bifidobacteriales.id.432	19	0.0547493657578179	0.026586407573292052	0.039465592601443	1.0562758426010606	1.002643494801092	1.1127770353548454	0.2952091254298478	0.04511167341535491	0.047178997036748625	0.3523816454838022	0.5642267383465575	0.03533331110992886	0.05007825914525449	0.4804606318481379	48.03110831903641	0.00014896792636708982
genus.Clostridiumsensustricto1.id.1873	8	-0.0742417353333557	0.03647605069248009	0.041815101881234586	0.9284472282115285	0.8643869127881303	0.9972550981749514	0.2952091254298478	-0.06489853036884989	0.021047750023122418	0.021569166736886556	0.13994146564783905	-0.0676769060730271	0.050584854262885406	0.18093271377951958	2.758868675084309	0.9063771588245317
class.Erysipelotrichia.id.2147	13	0.07622753031963828	0.038220195693177535	0.04610501009990106	1.0792080987877493	1.0013168129988819	1.1631584583114045	0.2952091254298478	0.0750372753301105	0.04767407960355899	0.1437982924240781	0.5957805672860744	0.07602802812894677	0.054673787723708	0.164354198716269	17.542377683536813	0.13030841709559393
family.Erysipelotrichaceae.id.2149	13	0.07622753031963828	0.038220195693177535	0.04610501009990106	1.0792080987877493	1.0013168129988819	1.1631584583114045	0.2952091254298478	0.0750372753301105	0.04767407960355899	0.1437982924240781	0.5957805672860744	0.07602802812894677	0.054673787723708	0.164354198716269	17.542377683536813	0.13030841709559393
order.Erysipelotrichales.id.2148	13	0.07622753031963828	0.038220195693177535	0.04610501009990106	1.0792080987877493	1.0013168129988819	1.1631584583114045	0.2952091254298478	0.0750372753301105	0.04767407960355899	0.1437982924240781	0.5957805672860744	0.07602802812894677	0.054673787723708	0.164354198716269	17.542377683536813	0.13030841709559393
