taxon	n_snp	or_ivw	b_ivw	se_ivw	p_ivw	q	q_p	or_egger	p_egger	egger_intercept	egger_intercept_p	or_wmedian	p_wmedian	fdr_ivw
genus.unknowngenus.id.959	13	1.3160125914593583	0.27460640083558846	0.0735169711801726	0.00018750716362479113	9.36776133110856	0.6712390358690621	1.711739025419489	0.16169533537783837	-0.02986325425338462	0.47093733450237973	1.2633537349165522	0.023947530482680144	0.03956401152483093
genus.LachnospiraceaeUCG004.id.11324	14	0.6790505904686092	-0.3870596468814339	0.12994621008432816	0.0028955495787390084	12.699855525515003	0.471253826613667	0.48929458524491626	0.21435902444659713	0.02165076168280406	0.5471987040106696	0.6815421652666713	0.03505238025380442	0.30548048055696536
genus.Butyricicoccus.id.2055	8	1.4534525655811958	0.3739418058652125	0.15603633152071011	0.016552280044652617	5.0522847667220905	0.6535826064224309	1.247663660028722	0.4470430776858749	0.015160380012957626	0.538644904287776	1.3103698209844612	0.19464996643190935	0.8853304016296438
genus.Alistipes.id.968	12	0.6822635202839861	-0.3823393023910937	0.15987986609153537	0.01678351472283685	4.1146262548620305	0.9664430656396098	0.7067983385693245	0.4943516773715113	-0.0021662767842649997	0.9425837251276415	0.6594143629453026	0.03467842056646099	0.8853304016296438
genus.Howardella.id.2000	10	0.8618580549154191	-0.1486646913496215	0.07683574887047097	0.05301023479952125	10.870331987356858	0.28470188867738244	0.6396195800217577	0.19148627507842422	0.04671825316843169	0.35474149730468946	0.8892854511707265	0.2551226247870543	0.962678992039221
genus.Lactococcus.id.1851	9	0.8510546098686077	-0.16127898105919003	0.0842262906780701	0.055514258604589264	5.977540295464752	0.649747827524007	1.1754726538602214	0.6352067361536675	-0.0437161131969247	0.34345817728111877	0.8767603408257508	0.2569655565014237	0.962678992039221
genus.unknowngenus.id.2041	12	1.2164794436856483	0.19596098518304883	0.10765275986374859	0.06871238921849	13.023148982930383	0.2918150963512243	1.2706453852777035	0.5202403902918382	-0.004300629211787378	0.9009558325232315	1.226506636986451	0.16295260703076409	0.962678992039221
genus.Methanobrevibacter.id.123	6	0.8330362714141456	-0.18267809464904786	0.1022941009522371	0.07412960550003915	5.001694714202755	0.4156733965489404	0.6404547480669074	0.33388101587527286	0.03906727208524123	0.5382667153526737	0.8920859101262796	0.4068287772894843	0.962678992039221
genus.unknowngenus.id.1000001215	9	0.8026409402056738	-0.21984781297396558	0.1259647215539873	0.08093047359464114	12.913875135515609	0.11484745161458378	0.7133903382853322	0.4255927517117389	0.014250081212864208	0.7631552000159869	0.7101851186416341	0.028645651190848578	0.962678992039221
family.unknownfamily.id.1000001214	9	0.8026409402056738	-0.21984781297396558	0.1259647215539873	0.08093047359464114	12.913875135515609	0.11484745161458378	0.7133903382853322	0.4255927517117389	0.014250081212864208	0.7631552000159869	0.7101851186416341	0.026143978664169926	0.962678992039221
order.Gastranaerophilales.id.1591	9	0.8026409402056738	-0.21984781297396558	0.1259647215539873	0.08093047359464114	12.913875135515609	0.11484745161458378	0.7133903382853322	0.4255927517117389	0.014250081212864208	0.7631552000159869	0.7101851186416341	0.022705419272433906	0.962678992039221
genus.Oscillospira.id.2064	9	1.299566115835139	0.26203045170831796	0.1520546193755414	0.08484055689107106	11.256529913889164	0.18758320395761696	2.001265507938225	0.3401314200012469	-0.041797940049956586	0.5334319317657682	1.318584699353078	0.13731257063702745	0.962678992039221
family.Peptococcaceae.id.2024	10	1.2112428461104694	0.19164697800145034	0.11572645283861599	0.09771486818379452	6.164859439220157	0.7233118011803319	1.1920933353525458	0.552186008018486	0.0015873167175671458	0.9534048045008818	1.0943154923186678	0.549576557653175	0.962678992039221
genus.Sutterella.id.2896	12	1.2401094650175182	0.21519965396058505	0.13221745158460815	0.10360566953427314	11.881237648498189	0.37263614989791033	1.9747363629001928	0.2706724390199149	-0.031975728844982114	0.4317641133784993	1.291858485329789	0.1426918646522226	0.962678992039221
genus.Ruminiclostridium9.id.11357	9	1.3263240339521996	0.28241123140668856	0.17485521188352823	0.10628584783843041	6.597319880957584	0.5806342503518174	0.6847349003430899	0.6176623176865795	0.04411813607661219	0.38110765629489873	1.375505875588814	0.16236819332044528	0.962678992039221
genus.Victivallis.id.2256	11	1.1168944148497688	0.11055198996996601	0.06954476739048235	0.11191323190682106	6.684040783097553	0.7548986633293671	0.7479935013952745	0.4473533452871524	0.05438440358264145	0.29569650928234203	1.1245601561652998	0.19914807669585677	0.962678992039221
genus.Coprococcus3.id.11303	10	1.2796446561128718	0.24658242697824817	0.15915143545228386	0.12129586955095081	5.584640649670383	0.7806610745950948	0.5796646232678246	0.4684502966472475	0.04722313465449627	0.2943877597335873	1.244859779686563	0.31524863125560554	0.962678992039221
genus.LachnospiraceaeUCG010.id.11330	10	0.8048758028799329	-0.21706729560301616	0.14370852063301978	0.13092374024257622	6.428024088298403	0.6964323866897916	0.43368317053274463	0.030257724943205774	0.05012431406576711	0.07346685635355199	0.8610775414579006	0.4248671629092031	0.962678992039221
genus.Bilophila.id.3170	13	0.7895717683613591	-0.23626454585698234	0.1566018645693896	0.13137658750005407	18.16986225729907	0.11062941786203784	0.6227366219840352	0.5678789069956548	0.017549532364456534	0.7687774500505881	0.681780767998782	0.0585202192855551	0.962678992039221
genus.unknowngenus.id.2071	16	0.8550988717940607	-0.15653817720589405	0.10755854912349848	0.14556507801950253	10.184409247234138	0.8079824642392851	1.6152137004507738	0.25860429316293226	-0.052434907963712585	0.13265845615225796	0.8763394145063114	0.3528215198511133	0.962678992039221
genus.RuminococcaceaeUCG014.id.11371	11	1.1967249118457808	0.1795885854992205	0.12382263314276164	0.146955473914258	3.378271816527987	0.9710708044253522	1.2229798234160885	0.2916775223841716	-0.0020527490193761643	0.8969795572266284	1.287523799240648	0.09997937873272714	0.962678992039221
family.Lachnospiraceae.id.1987	16	0.774792943894267	-0.25515945449351823	0.17871406550506233	0.15336310806987202	26.472756061464352	0.033337601266954786	0.7615839907993445	0.6804217981880826	0.0010740771897433377	0.9782840465846924	0.5758458106014245	0.00932776232355147	0.962678992039221
genus.Flavonifractor.id.2059	5	1.2797399621983068	0.24665690276027558	0.17531098004459147	0.15943693911534706	0.807331052868715	0.9374625409581615	2.057595139845817	0.05117545619234981	-0.04014496161205535	0.12155561163295103	1.2760876576510245	0.24953806283352398	0.962678992039221
genus.Ruminiclostridium5.id.11355	11	1.2324398664703817	0.20899583586239984	0.15193619620541998	0.16896099328870517	8.401341101316063	0.5896966524866164	0.7637443807015835	0.6590443765623523	0.031029165491120683	0.4257352397726539	1.3525827432681885	0.135548316570386	0.962678992039221
family.Lactobacillaceae.id.1836	9	0.8539933882071126	-0.15783182736977597	0.1159949665378745	0.17361539287159644	11.294512910624816	0.18556353429053268	1.2799983927310963	0.36611001818444305	-0.05205460243803047	0.12663793510623372	0.9664315406299702	0.8205599950709886	0.962678992039221
genus.LachnospiraceaeUCG008.id.11328	10	1.1487197495855272	0.13864806100960797	0.10326239648380822	0.17937653424130695	10.241347979919057	0.3313024980981813	1.4146579470213179	0.5459989089732172	-0.022068835040245118	0.7095366641477729	1.1283329484516842	0.39566072161382715	0.962678992039221
genus.Alloprevotella.id.961	5	1.1365147005080078	0.1279662991216654	0.09574235024678421	0.18136322105106484	0.8095120042108759	0.9371683175200343	2.1728772370465523	0.03474111896205161	-0.09015174572452564	0.053531160408947634	1.0911881925004652	0.43692366244111613	0.962678992039221
genus.ErysipelotrichaceaeUCG003.id.11384	17	0.8700935821256426	-0.13915450745662045	0.10623781950765264	0.1902500894061805	14.082981685058664	0.5925318372947511	0.9356103829728021	0.821426400904296	-0.006808083744930276	0.7923884718662747	0.84564678266131	0.2514284940815926	0.962678992039221
genus..Eubacteriumeligensgroup.id.14372	7	1.2593706067723482	0.23061207772784711	0.17920301591742563	0.19813747781046942	2.1942986979267474	0.9009896952325578	2.8985418213202214	0.0076670456962318456	-0.06876161856065069	0.017421753493520955	1.25803536084986	0.3158270275922961	0.962678992039221
genus.unknowngenus.id.2755	13	0.8900387180688621	-0.11649031375403932	0.09129606874092921	0.201968955063617	8.287707566587434	0.762262235511832	1.0577773707724443	0.8500370960149534	-0.017653659848812744	0.5493429924369919	0.9186351237328257	0.4743556061598211	0.962678992039221
genus.LachnospiraceaeFCS020group.id.11314	11	0.8506730691256249	-0.16172739681229284	0.1278674373387833	0.2059411748562331	8.87516564293295	0.5439904714789238	0.9442022843230479	0.8653467690173388	-0.008602402550765526	0.7393038371377173	0.8642146559495413	0.40047165083969694	0.962678992039221
